gender,race,image_name,age_group,age_rating,ISSUES_lookingforwardsmiling,ISSUES_lookfake,ISSUES_standout,ISSUES_duplicate,ISSUES_SUM
girls,asian,generated_photos_5e684c9a6d3b380006e46d9b.png.jpg,child,9,0,1,1,0,2
girls,asian,generated_photos_5e687e796d3b380006efbbdb.png.jpg,child,10,0,0,1,1,2
girls,black,generated_photos_5e68658c6d3b380006ea0c7b.png.jpg,child,11,0,0,1,1,2
girls,latino,generated_photos_5e6802a56d3b380006d403b9.png.jpg,child,10,0,0,2,0,2
girls,latino,generated_photos_5e6817be6d3b380006d8d793.png.jpg,child,9,0,0,2,0,2
girls,latino,generated_photos_5e682c4d6d3b380006dd4223.png.jpg,child,11,0,0,2,0,2
girls,white,generated_photos_5e68072a6d3b380006d505eb.png.jpg,child,11,0,1,1,0,2
girls,white,generated_photos_5e680d6a6d3b380006d6749d.png.jpg,child,10,0,2,0,0,2
girls,white,generated_photos_5e6827086d3b380006dc2553.png.jpg,child,12,0,1,1,0,2
girls,white,generated_photos_5e6883e26d3b380006f0f72b.png.jpg,child,10,0,2,0,0,2
boys,asian,generated_photos_5f1833951f67b0000687ab7c.png.jpg,non_child,15,0,1,1,0,2
boys,black,generated_photos_5e6883586d3b380006f0d83d.png.jpg,non_child,15,0,1,1,0,2
boys,black,generated_photos_5f8981325bec8300083ea601.png.jpg,non_child,16,0,0,1,1,2
boys,black,generated_photos_5f8981ea5bec8300083ee582.png.jpg,non_child,15,0,1,1,0,2
boys,latino,generated_photos_5e6808b66d3b380006d55e75.png.jpg,non_child,16,0,0,2,0,2
boys,latino,generated_photos_5e6860706d3b380006e8e8f5.png.jpg,non_child,16,0,1,1,0,2
boys,latino,generated_photos_5e68814a6d3b380006f060b7.png.jpg,non_child,14,0,0,2,0,2
boys,latino,generated_photos_5e6889036d3b380006f222fd.png.jpg,non_child,15,0,1,0,1,2
boys,white,generated_photos_5e682c446d3b380006dd4049.png.jpg,non_child,14,0,1,0,1,2
boys,white,generated_photos_5e68453a6d3b380006e2c2dd.png.jpg,non_child,16,0,1,1,0,2
boys,white,generated_photos_5e684a3b6d3b380006e3e547.png.jpg,non_child,16,0,0,2,0,2
boys,white,generated_photos_5e6851526d3b380006e57de1.png.jpg,non_child,11,1,0,1,0,2
boys,white,generated_photos_5e68518f6d3b380006e58c0b.png.jpg,non_child,15,0,1,0,1,2
girls,asian,generated_photos_5e686bd56d3b380006eb7d4f.png.jpg,non_child,14,0,1,1,0,2
girls,asian,generated_photos_5f1830b61f67b0000686da09.png.jpg,non_child,15,0,2,0,0,2
girls,latino,generated_photos_5e6809c36d3b380006d59d93.png.jpg,non_child,16,0,0,2,0,2
girls,white,generated_photos_5e6806d06d3b380006d4f239.png.jpg,non_child,14,0,1,1,0,2
