,image_name,door_or_face,image_type,gender,type,pct_endorsed_child,pct_endorsed_singledoor,general_dprime,highconfidence_treshold_dprime,highconfidence_subset_dprime,age_group,age_rating,ISSUES_lookingforwardsmiling,ISSUES_lookfake,ISSUES_standout,ISSUES_duplicate,ISSUES_SUM,door0_or_face1,distance,weights,subclass,use
45,number_67_648f31a8b130645170574d90.jpg,face,girls_asian,girls,asian,0.833333333,NA,0.458969432,-1.017018862,0.887146559,child,9,0,0,1,0,1,1,0.345699347,1,29,task
,FF016,,,,,,,,,,,,,,,,,,,,,
46,generated_photos_5e686bd56d3b380006eb7d4f.png.jpg,face,girls_asian,girls,asian,0.578947368,NA,0.45376219,-0.771809281,0.992170106,non_child,14,0,1,1,0,2,1,0.39370296,1,30,task
,FF020,,,,,,,,,,,,,,,,,,,,,
47,number_65_generated_photos_5e6876586d3b380006edd923.jpg,face,girls_asian,girls,asian,0.764705882,NA,0.408054339,-1.151833465,0.114322142,child,9,0,0,2,0,2,1,0.421925716,1,34,task
,FF009,,,,,,,,,,,,,,,,,,,,,
48,generated_photos_5e681dd96d3b380006da2779.png.jpg,face,girls_asian,girls,asian,0.888888889,NA,0.319239306,-1.953907359,0.05311771,child,9,0,0,2,0,2,1,0.260816292,1,37,task
,FF017,,,,,,,,,,,,,,,,,,,,,
49,generated_photos_5f181e071f67b0000681457b.png.jpg,face,girls_asian,girls,asian,0.904761905,NA,0.254119502,-1.986670613,-0.377965768,child,11,0,0,1,0,1,1,0.313853538,1,1,task
,FF018,,,,,,,,,,,,,,,,,,,,,
50,generated_photos_5e684c9a6d3b380006e46d9b.png.jpg,face,girls_asian,girls,asian,0.869565217,NA,0.203570358,-1.729252991,0.297690761,child,9,0,1,1,0,2,1,0.304054739,1,5,task
,FF028,,,,,,,,,,,,,,,,,,,,,
51,generated_photos_5f18030f1f67b00006785cf7.png.jpg,face,girls_asian,girls,asian,0.894736842,NA,0.180827533,-1.80111467,-0.212656809,child,11,0,0,0,0,0,1,0.352766281,1,7,task
,FF029,,,,,,,,,,,,,,,,,,,,,
52,generated_photos_5e681f986d3b380006da87a7.png.jpg,face,girls_asian,girls,asian,0.9,NA,0.168942928,-0.809231251,0.463707751,child,12,0,0,3,0,3,1,0.520722151,1,10,task
,FF006,,,,,,,,,,,,,,,,,,,,,
